#separator:tab
#html:false
#columns:Question	Answer
What is the module competence for "Basics of System Engineering"?	Understand the necessity of systems and system design (level 3: apply).
Which step of System Engineering is this chapter?	Step 1 — Basics of System Engineering (before Requirements, Risk, Change, Ideation, Design, Test, Project Setup).
What are the two parts of System Design?	The System (the purpose / "what") and the Design (the "how").
Define a "system".	A group of associated components that work together for the same purpose and that can be bordered from the environment.
What turns a group of parts into a system rather than an accumulation?	The components have different characteristics/features and share one purpose; without that it's just an accumulation.
Are system borders always sharp?	Mostly yes — systems are clearly bordered from others and the environment, but there can be partial overlaps at interfaces.
Give three examples of NATURAL systems and what they enable.	Galaxy (enables life), Leaf (photosynthesis), Lung (breathing) — developed without active human input.
Give three examples of ARTIFICIAL systems.	Piano (sound), Airplane (fly), Robot (human expressions); also search engine, sports team, organization — made by mankind.
What are the three TYPES of systems?	Natural systems, Artificial systems, Biotechnical systems.
What are the three types of man-made (artificial) systems?	Technical (machines, tools), Social (family, groups, work), Sociotechnical (technical + social influencing each other, e.g. information/work system).
Classify systems by exchange with the environment.	Open (full interfaces — info/material/energy), Partly open (small pre-defined data, e.g. OBD in a car), Isolated (nothing exchanged).
Can different parts of one system have different openness? Give an example.	Yes — a cleaning robot's tracking system is isolated, while its recorded map is shown via the open Bluetooth interface.
What does "Cyber" stand for?	Short form of "cybernetics".
Define cybernetics.	Control of machines including the feedback of sense organs (analogy to lifeforms) and the feedback of social interactions (communication).
List the elements of a cybernetic control loop in order.	Target value → difference (target − current) → Controller → Command → Actuator → Action → System/Environment → Reaction → Sensor → Current value → fed back (−).
"Cyber" is used as a prefix for which topics?	Computer/virtual-reality topics: Cybersecurity, Cyberspace, Cyberwarfare, Cybercrime, Cyber-attack, Cyborgs.
What is a cyborg?	A crossover of organic ("man") and biomechatronic ("machine") parts.
Define a mechatronic system.	A merge of software + hardware (mechanics & electronics); can be a standalone, closed system. E.g. washing machine.
Define a Cyber-Physical System (CPS).	A merge of intercommunicating software components (esp. embedded, via internet = cyber) + hardware (mechanics & electronics = physical); for large-scale, distributed networks (IoT). E.g. home automation linking washer + photovoltaic.
Is there a sharp distinction between mechatronic systems and CPS?	No — there is no sharp deviation between them.
Applied to this lecture, what "things" make up a system?	Physical: sensors, actuators, PCB & wires. Cyber: processing unit, AI, general software. → A Cyber-Physical System.
What does the System Wheel's inner ring (core) represent?	The "DNA" of the system — the core properties you'd write on a one-page datasheet (e.g. performance, consumption, cost, reliability, weight, size).
What are the three realization domains in the System Wheel?	Mechanics, E/E (electrics/electronics), and Software.
What is the SIPOC logic?	Supplier – Input – Process – Output – Customer — a general way to describe any process.
Give the high-level structure of a system (SIPOC applied).	Sensor → Connector → Logic → Connector → Actuator/Visualizer.
In the system structure, what is a "Connector"?	The link between blocks — PCB, wire, wireless, etc.
In the system structure, what counts as "Logic"?	Software, IC, calculator, state machine, AI, etc.
In the system structure, what is an "Actuator/Visualizer"?	The output element — motor, valve, HMI, database, etc.
Map ChatGPT onto the system structure.	Sensor = prompt webpage; Connector = data transfer to server; Logic = "magic of AI"; Connector = data transfer to browser; Visualizer = output field.
What are the four system levels (top to bottom)?	Supersystem (rare) → System → Sub-system → Component.
Which system levels always exist and which are optional?	System and Component always exist; Supersystem and Sub-system are optional.
Why must a lower level always have more than 1 element?	Otherwise the lower level would equal the higher one, so that level would not exist.
How can the same element be at different levels?	It depends on integration/point of view — e.g. a car is a "system" for the car-maker but a "supersystem"; a screw is a "system" for the screw supplier.
What are "tiers" in industry?	The supplier levels: manufacturer → tier-1 → tier-2 → tier-3 supplier, etc.
What is a component (system part)?	The basic element of a system; clearly bordered, with different functions/tasks.
Name the kinds of components (real and immaterial).	Real: hardware (electronics/mechanics/hydraulics), software (functions/interfaces), material/consumables (chemicals/liquids). Immaterial: talents & roles, ideas.
Define emergence.	A system can have other properties than the simple sum of its single components' properties ("1+1=3").
Give two examples of emergence.	A single sulphur atom has no colour but many are yellow; a single molecule has no pressure but a gas (many molecules) has pressure.
Why is "ignorance" NOT emergence?	Some effects are merely unknown due to low state-of-the-art knowledge and disappear as knowledge evolves — that is not emergence.
What does VUCA stand for?	Volatile, Uncertain, Complex, Ambiguous.
VUCA — what does "Volatile" mean?	Discontinuity; high speed & intensity; large ranges of fluctuation.
VUCA — what does "Uncertain" mean?	Countless scenarios with unclear outcome; unknown future / low predictability; things seem to emerge from "nothing".
