#separator:tab
#html:false
#columns:Question	Answer
What are the two module competences for Change Management?	Understand the necessity of change management (level 1); apply the process of change management to projects (level 3).
Which System Engineering step is Change Management?	Step 4 (after Risk Management, before Ideation); it sits between PRD freeze and Re-lease.
What is engineering change management (CM)?	The process of changing a product or parts of it (Ger. Änderungsmanagement, ÄM).
What is the "other" change management we DON'T mean in this course?	Organizational change management (Ger. Veränderungsmanagement) — changing processes, behaviours, strategy, systems, structures.
What is the content and target of CM?	Content: align, track and follow up changes of requests & requirements. Target: as few changes as possible (stable development) but as many as needed (sellable product).
When is a change NOT change management?	When the change is intended by the product itself (e.g. a chameleon changing colour). A change of the product DESIGN is change management.
List the four disciplines VM/LCM/CM/CM by the object they manage.	Variant management = products/variants; Life cycle management = new generations; Configuration management = HW+SW configurations; Change management = components. Object count increases top→down.
Give an example object for each of VM, LCM, Config-CM, Change-CM.	VM: sedan/convertible variants. LCM: BMW 3-series E90→F30→G20. Config-CM: ECU SW 3.7.2 + d-sample PCB. Change-CM: the d-sample PCB.
Which two disciplines both abbreviate to "CM"?	Configuration management and Change management — must not be mixed up.
What four factors increase the effort of a change?	System complexity, late point of detection (Rule of Ten), overlapping (parallel) changes, and variants.
Name the 4 phases of WHEN to do change management.	Until SOP (most changes); Launch management (just before SOP, critical); SOP→EOP (trouble-shooting & cost-down); After EOP (record field issues, improve next product).
WHERE should changes be documented, and what is the key rule?	At two IT locations: (1) project-management level (whole change) and (2) where the original object was created (e.g. PDM system). Both MUST be linked, or the data branches.
For whom is CM applicable, and what is recommended for suppliers?	All internal AND bought/supplied products. Suppliers must report all changes; only nominate ISO 9001-certified suppliers and put the reporting duty in the contract.
Why do change management? (key reasons)	Enables design-for-upgrade capability, traceability (versioning), releasable/conform product, cost control, avoids extra work/missed deadlines/dev issues, keeps high quality.
What is the relationship between the level and the amount of changes?	The higher the level of change, the fewer (smaller amount of) such changes occur.
What are the 3 TYPES of change?	Scope-Enlargement (add new content), Scope-Reduction (cancel existing content), Scope-Change (change existing content).
Evolutionary vs Revolutionary/Disruptive change?	Evolutionary = gradual improvement of state of the art (e.g. better phone); risk of long-term failure if never disruptive. Revolutionary = radical rethink/new solution (e.g. smartphone replacing telephone); risk the product won't establish.
What is the motivation for version control?	Traceability of the configuration over the whole life cycle: change frequency & object evolution visible, and return to previous versions possible.
Key principle of version control on changing an object?	Never overwrite — create a NEW version. The version number is an attribute (auto-counter in pro tools).
How is an object uniquely identified in version control?	By the combination of ID/name + version number (e.g. requirement #073 alone isn't enough — v1.0 or v1.1?).
Name the version-numbering schemes.	Single-level numeric (0,1,2…), single-level alphabetical (a,b,…,aa,ab…), and two-stage (a.0…b.0 or 1.1,1.2,2.0).
Explain MAJOR.MINOR.MICRO versioning with example 3.9.4.	Major = significant change/re-design (before the dot); Minor = feature/improvement (after the dot); Micro = patch/bug-fix. Next: 4.9.4 (major), 3.10.4 (minor — not 4.x!), or 3.9.5 (micro).
Outline the version-control PROCESS.	Like "new requirements": change into pool → acceptable? → No: decline with reason (or modify & re-loop) → Yes: release new version.
What should be documented in version control? (content)	Object, status, version number, what changed, why, for whom (which product/date), who changed it, when, who approved, when approved.
What does ISO 9001 require for document control?	Information available & suitable where/when needed; adequately protected (confidentiality, integrity); managed for distribution/access/discovery/use; stored with preserved readability; change-monitored; external documents marked.
Example: where to keep a machine's safety manual?	Directly at the machine so the operator always has access — not only on a digital folder/drive.
Challenge with storing documents readable for 30 years?	Paper vs digital media — can you still read a CD/USB/hard-drive AND its file format after 30 years?
What replaces individual 2D drawings in modern drawing control?	A central drawing management with master data, drawing, permissions, change history, release status, creator, etc.
What can be the impact of a change?	Increased complexity (variants/configs) → quality issues & lower customer satisfaction; time delay; worse cost/benefit; breaks the PRD contract; worst case the whole project is stopped.
What is the "inversed Rule of Ten"?	The LATER the root cause (not detection!) sits in the design process, the easier and cheaper the change. Cheapest→dearest: update design → update assembly process → change concept → redesign test → change whole system.
What causes a design & concept change?	Failed tests (bad concept/design/implementation); realization issues (HW won't work or too costly → switch to SW); needing a re-design or new concept.
Ideal vs reality of the PRD freeze?	Ideal: hard PRD freeze, no requirement changes after it. Reality: the freeze is partly soft, so changes are needed.
What are "have-to" requirement changes?	Mandatory changes before launch: a changing law effective before launch; a failed verification → relax an over-engineered requirement (else change design/concept).
What are "can-be" requirement changes?	Optional/your decision: new/extended applications, company strategy, customer expectation (B2B = extra cost), tool kits (e.g. round→rectangular plugs), cultural/political expectations.
How do you handle a requirement change? (process)	Re-open the requirement process → impact analysis (resources + risks) → create a CR (change request) → CCB/project lead decides & records → prioritize (cost/benefit) → plan implementation.
What is the current valid configuration equal to?	The base line (reference) + all CRs (change requests).
After approving a change, what steps follow?	Update the requirements, document the change (versioning), implement, track the verification, release the change.
What is a new product generation, and what manages it?	Passing the development process several times for one product creates a new generation; product lifecycle management (PLM/LCM) controls this.
Positive vs negative reasons to repeat the product lifecycle?	Positive: new customer requirements, intrinsic advancement, state-of-the-art advances. Negative: competing products, quality issues, bad reviews, cost reduction.
